collection,release,source_pdf,source_sha256,source_bytes,pages,ocr_pdf,ocr_sha256,text_file,markdown_file,ocr_exit_code,ocr_seconds,text_chars,chars_per_page,empty_pages,tool_versions,ocr_options,needs_review,error
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-section-2.pdf,b79da2d091ae8e1637f58d91602758feef2341aba3c90addd9c1487cdef58109,33449155,194,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-section-2.pdf,2be07e631f4fea95aa11dae45cb3d4e6da4f46d5b00fbd17f7870bcc58b17b43,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-section-2.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-section-2.md,0,38.0,479473,2471.5,12,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-section-3.pdf,ba72ac1879acea2f3c87f6bf40983f3b5f39f03038e1b59f907d136b0f02eab4,35533010,190,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-section-3.pdf,039beab72be7db3f0481f7ecb5f8c4cc05200d89f033cb3260912a1ea362e75f,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-section-3.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-section-3.md,0,51.1,368742,1940.7,9,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-section-4.pdf,c3a722892229c6da31db714aabfbe19ad86b82732258114a596cc076ea69d526,37916413,214,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-section-4.pdf,9d270b333e1278057b8bb742e30993c5cafdbe36c6a31f3e17d8bbe333dac70e,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-section-4.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-section-4.md,0,38.4,364898,1705.1,6,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-section-5.pdf,ed97686fb1301e3a12e19d91f833f31da5b97065ef85560fc6d8fce7b7c2265d,36260149,209,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-section-5.pdf,abc7a42432f41591e44e0668fc9de152efe9255259a71192e9b76707ea25150b,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-section-5.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-section-5.md,0,51.6,362371,1733.8,10,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-section-6.pdf,7620094802463bc97ea365b0e15438dd236739db15f0edc689aebd83a9f6a938,60929949,271,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-section-6.pdf,746adefbc5ca4abb89cfad8e4a8caecf2c2c39a4879f6dcbe76dc37f1be6281f,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-section-6.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-section-6.md,0,63.5,918803,3390.4,9,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-section-7.pdf,350806816e58095e0a8f89808fc1af246d6c9a005e63e49e28829b040963a5c2,39389073,205,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-section-7.pdf,16121a4c0ef17b5521e8f34713c78cdadf25170f0a4781730dde2e0af0636416,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-section-7.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-section-7.md,0,45.9,380912,1858.1,3,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-section-8.pdf,ad2fd32949337143a56a9089a193e22f953edb28b1ee07a9ad8c5330bb1b9aa1,255526310,217,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-section-8.pdf,086ef2c8f54e9a53cec4ba77caa2376fabdc085d5e1a532d563a37e65deb917d,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-section-8.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-section-8.md,0,61.6,334487,1541.4,5,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-section-9.pdf,c0a322f3544e3ba6c95257b89b2fd3aec3249c7a5d8f419e3f1826facea40a08,52058639,290,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-section-9.pdf,c5cf624f111b75ae261b74a465bc1479ee5e66c463f6653ffbd4ef122c61bdc6,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-section-9.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-section-9.md,0,27.0,515549,1777.8,5,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-serial-130.pdf,77043137eec2494bbeeb945c2cf8674ce343617e3c4d14ab17a69806c58dae6a,21525036,126,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-serial-130.pdf,836e20997d3843f6990ab3b3ae9ba835a084f56c1ab9c169c6242b5bc2080379,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-serial-130.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-serial-130.md,0,30.4,333906,2650.0,3,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,false,
department-of-war,release-01,processing/department-of-war/release-01/originals/65-hs1-834228961-62-hq-83894-serial-153.pdf,0df8c23b9c7710c849ebffc9d17edf3299e3f2876554ac8aa64bc5822e97150c,1082077,9,processing/department-of-war/release-01/searchable-pdf/65-hs1-834228961-62-hq-83894-serial-153.pdf,68a6a9ce068cd90dac2ba7e3b6af1577da54ba968368e6b66b88b7b1f15d0864,processing/department-of-war/release-01/text/65-hs1-834228961-62-hq-83894-serial-153.txt,department-of-war/release-01/65-hs1-834228961-62-hq-83894-serial-153.md,0,4.2,2661,295.7,2,ocrmypdf 17.5.0 / tesseract 5.5.2,-l eng --mode skip --rotate-pages --deskew --optimize 1,true,
